gap_id	gap_type	resolution_status	containment
2309.09902::g1	limitation	open	1.0
2309.09902::g2	future_work	open	1.0
2507.03922::g1	limitation	open	1.0
2507.03922::g2	limitation	open	0.917
2510.04514::g1	limitation	open	1.0
2510.04514::g2	limitation	open	0.939
2510.04514::g3	limitation	open	0.879
2510.04514::g4	future_work	open	0.96
2511.13548::g1	limitation	resolved_in_paper	0.95
2511.13548::g2	limitation	resolved_in_paper	0.684
2511.13548::g3	future_work	open	0.548
2511.13548::g4	future_work	open	0.75
2208.03805::g1	limitation	resolved_in_paper	0.385
2208.03805::g2	future_work	open	0.556
2208.03805::g3	future_work	open	0.606
2208.03805::g4	future_work	open	0.625
2208.03805::g5	future_work	open	0.722
2211.01962::g1	future_work	open	1.0
2211.01962::g2	future_work	open	0.947
2211.01962::g3	future_work	open	1.0
2511.03443::g1	limitation	partially_addressed	0.368
2511.03443::g2	future_work	open	1.0
2002.09564::g1	limitation	partially_addressed	0.62
2002.09564::g2	future_work	open	0.917
2003.01908::g1	limitation	resolved_in_paper	0.533
2003.01908::g2	future_work	open	1.0
2102.04998::g1	future_work	open	0.938
