id	gap_type	gap_sentence	paragraph_text	confidence
0803.2303	future_work	To find non-trivial solutions for \(\zeta(s) = 0\) ;\(\zeta'(s) = 0\) , we can try the system: \(\begin{cases} \zeta(s) = 0 \\ \zeta'(s) = 0 \end{cases}\) for \(\Im(s)\) big enough could be useful to try the system \(\begin{cases} \zeta(s) = 0 \\ \zeta'(s) = 0 \end{cases}\)	Now we know that the non-trivial zeros of \(\zeta(s)\) are on the critical line. Therefore: To find non-trivial solutions for \(\zeta(s) = 0\) ;\(\zeta'(s) = 0\) , we can try the system: \(\begin{cases} \zeta(s) = 0 \\ \zeta'(s) = 0 \end{cases}\) for \(\Im(s)\) big enough could be useful to try the system \(\begin{cases} \zeta(s) = 0 \\ \zeta'(s) = 0 \end{cases}\)	0.9
0805.3456	limitation	the communication graph is often assumed to be complete (or all-to-all), but in the absence of communication, the time-evolution of the systems' variables can be oscillatory or even chaotic.	limitations: the communication graph is often assumed to be complete (or all-to-all), but in the absence of communication, the time-evolution of the systems' variables can be oscillatory or even chaotic. The system dynamics can be modified through the information exchange, and, as in the consensus problem, the goal of the interconnection is to reach synchronization to a common solution of the individual dynamics {{cite:8e3157379ef855482fcaf37fe9405ef51457a194}}, {{cite:684dc66e7d4a0631af50bd0baaeacb3bded11a07}}, {{cite:f2645858041eedb262e8cf7c96110637549c6792}}, {{cite:a21a35419d06741d5fa243f5c23f57f052b23620}}. Coordination problems encountered in the engineering world can often be rephrased as consensus or synchronization problems in which both the individual dynamics and the limited communication aspects play an important role. Designing interconnection control laws that can ensure synchronization of relevant variables is therefore a control problem that has attracted quite some attention in the recent years {{cite:3377176d8288814ff87c2dcfec20886d46780b65}}, {{cite:eb37f7114d6e7372c9c8d3c28bb100b08549eba5}}, {{cite:ae1621740a416c2873da35e86d33235d86024dc4}}, {{cite:032e7777248339fbdefded6f736f9ef54ceaf1f0}}, {{cite:fddc190ba04b15335e89d3e7f9f53df5b14d3eec}}. The present paper deals with a fairly general solution of the synchronization problem in the linear case. Assuming {{formula:736e8374-8f6f-4274-9cc6-d310fe71f3fa}} identical individual agents dynamics each described by the linear state-space model {{formula:2e1c1824-d387-447b-98b6-5f6625e21191}} , the main result is the construction of a dynamic output feedback controller that ensures exponential synchronization to a solution of the linear system {{formula:11890e3c-ed7f-4568-907c-9bbb4a824b68}} under the following assumptions: (i) {{formula:7a4cf05b-7fe9-4241-bd9f-c1b2f0d07340}} has no exponentially unstable mode, (ii) {{formula:69adb29b-ffa1-4408-889e-ae47c6506ba6}} is stabilizable and {{formula:7ada616a-9eb7-4725-9f61-896962265488}} is detectable, and (iii) the communication graph is uniformly connected. The result can be interpreted as a generalization of classical consensus algorithms, studied recently, corresponding to the particular case {{formula:b2c34407-09b6-4eb9-8873-58057cc5291b}} {{cite:0611b2b233fdc26e63788eca79cf783b27bc1c4b}}, {{cite:dffa2ea9c3c6665ef5522c572c54d2f0cecb647c}}. The generalization includes the non-trivial examples of synchronizing harmonic oscillators or chains of integrators. The proposed dynamic controller structure proposed in this paper differs from the static diffusive coupling often considered in the synchronization literature, which requires more stringent assumptions on the communication graph. For instance, the results in the recent paper {{cite:c1e1ffa3ebab1a8473177d4fd4cce2b7b0e7b4ff}} assume a time-invariant topology. The paper also provides sufficient conditions for synchronization by static diffusive coupling and illustrates on simple examples that synchronization may fail under diffusive coupling when the stronger assumptions on the communication graph are not satisfied. The paper is organized as follows. In Section the notation used throughout the paper is summarized, some preliminary results are reviewed and the synchronization problem is introduced and defined. In Section the linear case is studied when state coupling among the systems is allowed while in Section the output coupling case is considered. In Section we extend the main results to discrete-time linear systems and to periodic time-varying linear systems. Finally, in Section , two-dimensional examples are reported to illustrate the role of the proposed dynamic controller in situations where static diffusive coupling fails to achieve synchronization. Throughout the paper we will use the following notation. Given {{formula:eca8bab2-91d3-4a0a-98f2-86ce9ccc74e0}} vectors {{formula:3246f888-6af1-4855-b451-b2748267d7a0}} we indicate with {{formula:2fbeaddc-9dc4-4f59-9b39-f23e55a4da5b}} the stacking of the vectors, i.e. {{formula:83541711-83a4-4393-a495-8c6f52ec7516}} . We denote with {{formula:dbfe2ee1-516e-4022-8d3a-8bddb1d14b26}} the diagonal matrix of dimension {{formula:f6ae3f12-0018-4918-8df7-9a45ffb94d16}} and we define {{formula:919ba086-a977-4aff-89da-1d0ce865910e}} . Given two matrices {{formula:bfdfb92c-89cc-4e3b-8233-5f001e6fe190}} and {{formula:c2dd4470-d7ac-4f3b-b842-e16eaaf2362c}} we denote their Kronecker product with {{formula:06b401a2-f9ec-4cbe-b662-636ac4b27034}} . For notational convenience, we use the convention {{formula:756de204-cbe1-4ab7-b493-d41875faf7ac}} and {{formula:1c914689-bab2-4f91-9ab7-dc3d650f1f15}} . We recall some properties of the Kronecker product that will be used throughout the paper {{formula:34564f2e-0889-4d9f-83c7-11e607a014f0}} where {{formula:88cce9cc-39d7-4416-9fd1-ff97a8cd850c}} . Given a set of interconnected systems the communication topology is encoded through a communication graph. The convention is that system {{formula:76e7a1bc-bc25-40bb-a236-7ee3689c5bf5}} receives information from system {{formula:2a00fccd-bea9-4683-aad2-53c194d8b654}} iff there is a directed link from node {{formula:1c3b9429-9d51-4100-a0ec-f0a65084d5b5}} to node {{formula:166d4e66-7a22-4265-9875-2365da1bc15e}} in the communication graph. Let {{formula:de29ee09-3c25-4ea0-9140-4f61b4f1bd3d}} be a time-varying weighted digraph (directed graph) where {{formula:fb6f5962-cddb-4d00-bec2-ba61defb8daf}} is the set of nodes, {{formula:c542378c-3e41-45de-9ae9-3dc983bae016}} is the set of edges, and {{formula:ab0c7f79-4c0e-45c2-b9d6-c1eef7cbcd7a}} is a weighted adjacency matrix with nonnegative elements {{formula:d2656bb3-1859-4202-9dc3-f1296fd6db13}} . In the following we assume that {{formula:497fd8a1-25f6-4f56-9a3d-8271f91962ae}} is piece-wise continuous and bounded and {{formula:2dcfed46-0c62-4187-8570-a80d97941604}} for some finite scalars {{formula:53b4f940-4f45-45d8-a2a7-56841d1ebe3b}} and for all {{formula:429310ac-db72-4436-b313-f29fcdd3c677}} . Furthermore {{formula:fb36b3cd-612b-493b-bc50-3eca7387adb5}} if and only if {{formula:f28c7992-978e-4721-a46a-217d7d2df4b4}} . The set of neighbors of node {{formula:08e0199a-cece-468c-93a2-2544d2e1cecb}} at time {{formula:d4698ca3-67c5-4cf7-a1fd-736a9ce232ee}} is denoted by {{formula:c1fd2108-0f1c-4002-81f4-9dabc20bf2fa}} . A path is a sequence of vertices such that for each of its vertices {{formula:5d9824d8-6be8-4f7c-acce-1873de896821}} the next vertex in the sequence is a neighbor of {{formula:55c99f3f-750b-44d6-a726-836a056040dd}} . Assume that there are no self-cycles i.e. {{formula:5e4f68c1-6b66-487e-8349-53f42bf61437}} , and for any {{formula:9ee175a4-0cf9-47d3-a0d0-5b1c10121992}} . The Laplacian matrix {{formula:8aecd51c-cfc0-4b10-bcdb-52054629e694}} associated to the graph {{formula:b0dc85f3-90f9-492b-bd2e-2577c3f7bfbf}} is defined as {{formula:e368508f-afff-4f1b-b5ba-ce4ebb450dd1}} The in-degree (respectively out-degree) of node {{formula:1d5dfa74-5419-4303-ba1b-92de1fee94d7}} is defined as {{formula:4e0698b3-372f-4c3c-84f0-a2d5ac65c829}} (respectively {{formula:34af9b97-a7d9-4224-bf23-c74fdfe60a7f}} ). The digraph {{formula:c44744e7-5a9a-4f93-a417-7f0107d8eba2}} is said to be balanced at time {{formula:87fa1f7b-260c-4130-9832-88f9bbe0e8a6}} if the in-degree and the out-degree of each node are equal, that is, {{formula:4f2445a0-eeb4-4864-b8c2-0c38d4cc35a8}} Balanced graphs have the particular property that the symmetric part of their Laplacian matrix is nonnegative: {{formula:4f3a7678-44b8-4b09-ab21-7293c78bf7d6}} {{cite:4b4d80defc35d17df135e97f6282d248d9718358}}. We recall some definitions that characterize the concept of connectivity for time-varying graphs. Definition 1 The digraph {{formula:ba1e29c8-66b2-4a84-8686-fb4320b7ab68}} is connected at time {{formula:513ba339-69c2-4100-8260-4d24725dd7ce}} if there exists a node {{formula:15817a75-3547-4cc7-ad27-8b6144787d20}} such that all the other nodes of the graph are connected to {{formula:1de5150c-7eee-4185-bfee-b8fa4eba5472}} via a path that follows the direction of the edges of the digraph. Definition 2 Consider a graph {{formula:8b893c24-5f63-47c1-9dfd-d94f6a617313}} . A node {{formula:9536a0dd-6181-4f8b-9d16-48fd70531e8f}} is said to be connected to node {{formula:6ba49525-164b-454e-b60a-30cba22fb8c4}} ({{formula:54d870e0-64cb-458d-ae1e-14b649a42122}} ) in the interval {{formula:9b4a17be-3024-478f-8e91-159eed4aa09d}} if there is a path from {{formula:74b6aa53-1151-41c5-8476-3884a3e7175d}} to {{formula:b0006868-e1cf-4a11-ace1-d3fafd400f80}} which respects the orientation of the edges for the directed graph {{formula:b885137c-4f59-46ae-ade9-bc09717e9eb9}} . Definition 3 {{formula:cc3fb936-f3f2-4171-991a-e0070d3b8d25}} is said to be uniformly connected if there exists a time horizon {{formula:6594291e-7d0e-4c33-91e2-702a91eec7f4}} and an index {{formula:db6241d0-4ae1-4fbe-82d4-87bc56243aa0}} such that for all {{formula:46578eb3-b8fe-4c68-baa6-ccc17	0.9
0807.0023	future_work	"Future work that studies this method with the inclusion of humans that help to validate and “clean"" the recommended metadata would be telling of how much this method is able to speed up the process of generating accurate and reliable metadata for metadata-poor resources."	"Future work that studies this method with the inclusion of humans that help to validate and “clean"" the recommended metadata would be telling of how much this method is able to speed up the process of generating accurate and reliable metadata for metadata-poor resources. Such an analysis is left to future research."	0.9
0807.0023	future_work	The variations of this preliminary framework will be explored in future work.	Finally, multiplicative effects due to particle interaction may effect the results of the algorithm. For instance, if two particles, {{formula:259b42d2-baa5-450b-b757-10dec3ad9808}} and {{formula:6bc0533a-75fe-4e38-811f-39afda2f9096}} , meet at a particular node, {{formula:ce269697-9b00-45cc-853f-a1ecda243696}} , and {{formula:b85f1c22-1d44-44b3-ae8c-cc1e2f6946f8}} and {{formula:ad79b342-7582-4f30-9ed8-c6bf27d05b3a}} have similar metadata then the footprint they leave at {{formula:eabf6d95-a9d8-4b7e-a89b-774502603579}} should be more noticeable. Because two different metadata sources are supplying the same property values, there is an increased probability of that recommended metadata value being correct. Currently, only a summation is being provided. It may be interesting to multiply this summation by the number of unique particles that provided energy for a particular recommended metadata value. The variations of this preliminary framework will be explored in future work.	0.8
0808.2057	future_work	We leave the consideration of block-Hankel hollow weighing matrices to future work.	For completeness, we mention one further elaboration that is possible for this scheme. If the photons' polarization, transverse, or spatial degrees of freedom are taken into account, then the Hamiltonian E:Hamiltonian can be modified by adding additional indices for these modes. If these additional modes are all frequency-degenerate, then an additional sum over these degenerate modes appears in E:Hamiltonian, which allows for the symmetric intercoupling between the degenerate degrees of freedom. If such an interaction could be simultaneously phasematched by the nonlinear medium inside the cavity, then one is naturally lead to consider block-Hankel matrices, where the size of the blocks is equal to the number of degenerate degrees of freedom. We leave the consideration of block-Hankel hollow weighing matrices to future work.	0.95
0811.2508	limitation	No single brown dwarf pair straddling the LDB has yet been identified.	A variant of the LDB technique for coeval binary systems has been proposed by {{cite:17984f83a2310cd48d75b477084a8897b2300087}}, in which a system that exhibits Li I absorption in the secondary but not in the primary can have both lower and upper age limits assigned to it (note that the presence/absence of Li I in both components simply sets a single upper/lower age limit). This technique requires resolved optical spectroscopy of both components and can be pursued only for a few (rare) wide low-mass pairs (e.g., Burgasser et al., in prep.) or using high spatial-resolution spectroscopy (e.g. {{cite:09db6dfd8019c882d6da74c45a9487139c06e08b}}). No single brown dwarf pair straddling the LDB has yet been identified.	0.9
0811.2508	limitation	For brown dwarfs cooler than {{formula:e0c2aa9c-6148-4794-8b6d-b3243dc501a3}} 1500 K (i.e., the T dwarfs), lithium is chemically depleted in the photosphere through its conversion to LiCl, LiF or LiOH {{cite:58bb262fbbae7790bd0028d0996a7cd72afdc9fb}}.	Despite its utility, the detection of LI I absorption in brown dwarf spectra has limitations. The 6708 Å line lies in an relatively faint spectral region for cool L-type dwarfs, so sensitive spectral observations on large telescopes are typically required to detect (or convincingly rule out) this feature. For optically-brighter M-type brown dwarfs, high-resolution observations are generally required to distinguish Li I absorption from overlapping molecular absorption features. Young brown dwarfs ({{formula:87369e06-cec4-46cc-8511-286c1e16ef36}} 50 Myr) with low surface gravities show weakened alkali line absorption (see {{formula:df33d6ef-3020-4acf-809e-f839464296be}} 5), including Li I, making it again necessary to obtain sensitive, high-resolution observations {{cite:15f44987c00c2b2c90a1607b6160c901c1aec91a}}. For brown dwarfs cooler than {{formula:e0c2aa9c-6148-4794-8b6d-b3243dc501a3}} 1500 K (i.e., the T dwarfs), lithium is chemically depleted in the photosphere through its conversion to LiCl, LiF or LiOH {{cite:58bb262fbbae7790bd0028d0996a7cd72afdc9fb}}. As such, practical	0.8
0811.3859	open_problem	However, it is unclear if this can be turned into a reduction from \(\text{formula:fdefc712-8100-417d-80f5-6dddcfff8f75}\) to \(\text{formula:92eeab3d-e73e-49dd-8e24-13a4e2ec3095}\) using edge/vertex colouring.	Cunningham et al.  {{cite:9c13e8a20b0732dc38783dc73882b43cc1fbb32f}} shows that any graphic matroid \(\text{formula:df282619-399c-4fdf-b7a4-5242ec2ee194}\)  is isomorphic to \(\text{formula:8282ae4a-82f0-465b-84d6-0c9314ac6729}\) , where \(\text{formula:87ea2e4c-4c21-496c-8f68-97a959382b83}\)  are 3-connected components, bonds or polygons of \(\text{formula:02a3f5a3-e149-4f57-9aa3-d4dd4d70b42d}\) and \(\text{formula:8265e63b-977e-4e79-88a9-661ad366d93a}\)  are the virtual edges. However, it is unclear if this can be turned into a reduction from \(\text{formula:fdefc712-8100-417d-80f5-6dddcfff8f75}\) to \(\text{formula:92eeab3d-e73e-49dd-8e24-13a4e2ec3095}\)  using edge/vertex colouring.	0.9
cs/0610128	limitation	Some implementation issues were not addressed.	By a direct product {{cite:aa49b595a8cf654ccc092582befe47263fd8efa8}}, Hierarchical Bin Buffering and therefore the Ola approach can be generalized to the multidimensional case. Some implementation issues were not addressed. For example, many forms of buffering using finite-accuracy floating-point numbers are susceptible to significant numerical errors. Finally, the source code used for the production of this paper is freely available {{cite:cdac3b577396445090fa52fc9f277b0d703ee418}}.	0.9
cs/0610128	limitation	For example, many forms of buffering using finite-accuracy floating-point numbers are susceptible to significant numerical errors.	Some implementation issues were not addressed. For example, many forms of buffering using finite-accuracy floating-point numbers are susceptible to significant numerical errors. Finally, the source code used for the production of this paper is freely available {{cite:cdac3b577396445090fa52fc9f277b0d703ee418}}.	0.85
