paper_id	source	sent_idx	sentence	silver_label	silver_confidence	silver_rationale	gold_label	notes
quant-ph/0402095	gold	0	Can quantum computers solve {{formula:2de743ab-f30f-4f20-85d1-cba9cc2299f0}} -complete problems in polynomial time?	open_problem	0.95	The sentence poses a question about the capability of quantum computers, indicating an unresolved issue in the field.		
quant-ph/0402095	gold	1	In the early days of quantum computing, Bennett et al. {{cite:5a0a45badcd919053d8a7a3922bd95e2fdb29e2d}} gave an oracle relative to which {{formula:a65f7339-f8b9-49d2-b9ed-ff373112a988}} , providing what is still the best evidence we have that the answer is no.	none	0.9	This sentence provides historical context and evidence from prior work, not a limitation or future work.		
quant-ph/0402095	gold	2	It is easy to extend Bennett et al.'s result to give an oracle relative to which {{formula:7de710c4-f088-4bbe-94bc-3393b935d9d6}} ; that is, {{formula:0feaf9aa-32ae-404f-8389-b73f910adf64}} is hard even for nonuniform quantum algorithms.	none	0.9	This sentence describes an extension of a previous result, not a limitation or future work.		
quant-ph/0402095	gold	3	But when we try to show {{formula:9e42b679-736c-4860-8a4a-a21221c28022}} relative to an oracle, a new difficulty arises: even if the oracle encodes {{formula:408e632b-a4bb-4177-9eb9-213f2f60a6c8}} exponentially hard search problems for each input length {{formula:e96c9337-84d0-448b-9d47-366ce5b41a60}} , the quantum advice, being an “exponentially large object” itself, might somehow encode information about all {{formula:5d9acaa0-a933-44cf-8bd8-aab0b7b2cc3d}} problems.	limitation	0.95	The sentence describes a difficulty encountered when trying to show a result, indicating a limitation in the current approach.		
quant-ph/0402095	gold	4	We need to argue that even if so, only a miniscule fraction of that information can be extracted by measuring the advice.	none	0.85	This sentence states a need to argue a point but does not explicitly state a limitation or future work.		
quant-ph/0402095	gold	5	How does one prove such a statement?	open_problem	0.9	The sentence poses a question about proving a statement, indicating an unresolved issue.		
quant-ph/0402095	gold	6	As it turns out, the task can be reduced to proving a direct product theorem for quantum search.	none	0.85	This sentence describes a reduction of a task to another problem, not a limitation or future work.		
quant-ph/0402095	gold	7	This is a theorem that in its weakest form says the following: given {{formula:c37bfeab-2a71-42c3-8f97-cc4f823b890b}} items, {{formula:1467963e-0e68-4009-b1c0-9f0441ba0340}} of which are marked, if we lack enough time to find even one marked item, then the probability of finding all {{formula:c2998e87-2e90-451c-9291-f66c990a603e}} items decreases exponentially in {{formula:4c8dea66-959c-423d-a6cf-3c7cec8bd41a}} .	none	0.85	This sentence explains a theorem in detail, which is descriptive rather than a limitation or future work.		
quant-ph/0402095	gold	8	For intuitively, suppose there were a quantum advice state that let us efficiently find any one of {{formula:7fa376b9-b0b3-4d65-853a-15c8751f69ed}} marked items.	none	0.85	This sentence provides a hypothetical scenario to illustrate a point, not a limitation or future work.		
quant-ph/0402095	gold	9	Then by “guessing” the advice (i.e. replacing it by a maximally mixed state), and then using the guessed advice multiple times, we could efficiently find all {{formula:df1649a1-4fe3-4589-8cd9-10d26f7ff23f}} of the items with a success probability that our direct product theorem shows is impossible.	none	0.85	This sentence continues the hypothetical scenario, explaining the implications of the direct product theorem.		
