id	stage	metric	value	extra
quant-ph/0402095	regex_section	rouge1_f	0.05717202654415517	limitations
quant-ph/0402095	regex_section	rouge2_f	0.016853932584269662	limitations
quant-ph/0402095	regex_section	rougeL_f	0.03215926493108729	limitations
quant-ph/0402095	regex_section	pred_chars	1297.0	
quant-ph/0402095	llm_gap	n_gaps	1.0	
quant-ph/0402095	llm_gap	mean_sim_to_gold	0.7129418849945068	
quant-ph/0402095	llm_gap	mean_sim_to_full	1.0000001192092896	
quant-ph/0402095	llm_gap	recovery_at_0.5	1.0	
quant-ph/0402095	llm_gap	hallucination_at_0.5	0.0	
quant-ph/0402095	llm_gap	recovery_at_0.6	1.0	
quant-ph/0402095	llm_gap	hallucination_at_0.6	0.0	
quant-ph/0402095	llm_gap	recovery_at_0.7	1.0	
quant-ph/0402095	llm_gap	hallucination_at_0.7	0.0	
cs/0610128	regex_section	rouge1_f	0.26441199077632593	tail
cs/0610128	regex_section	rouge2_f	0.2632794457274827	tail
cs/0610128	regex_section	rougeL_f	0.26441199077632593	tail
cs/0610128	regex_section	pred_chars	7705.0	
cs/0610128	llm_gap	n_gaps	2.0	
cs/0610128	llm_gap	mean_sim_to_gold	1.0	
cs/0610128	llm_gap	mean_sim_to_full	1.0	
cs/0610128	llm_gap	recovery_at_0.5	1.0	
cs/0610128	llm_gap	hallucination_at_0.5	0.0	
cs/0610128	llm_gap	recovery_at_0.6	1.0	
cs/0610128	llm_gap	hallucination_at_0.6	0.0	
cs/0610128	llm_gap	recovery_at_0.7	1.0	
cs/0610128	llm_gap	hallucination_at_0.7	0.0	
0803.2303	regex_section	rouge1_f	0.12826603325415678	tail
0803.2303	regex_section	rouge2_f	0.1272294887039239	tail
0803.2303	regex_section	rougeL_f	0.12826603325415678	tail
0803.2303	regex_section	pred_chars	11686.0	
0803.2303	llm_gap	n_gaps	1.0	
0803.2303	llm_gap	mean_sim_to_gold	0.2867649495601654	
0803.2303	llm_gap	mean_sim_to_full	0.2952349781990051	
0803.2303	llm_gap	recovery_at_0.5	0.0	
0803.2303	llm_gap	hallucination_at_0.5	1.0	
0803.2303	llm_gap	recovery_at_0.6	0.0	
0803.2303	llm_gap	hallucination_at_0.6	1.0	
0803.2303	llm_gap	recovery_at_0.7	0.0	
0803.2303	llm_gap	hallucination_at_0.7	1.0	
0805.3456	regex_section	rouge1_f	0.13735108619481431	fallback
0805.3456	regex_section	rouge2_f	0.06736842105263158	fallback
0805.3456	regex_section	rougeL_f	0.09670637701471618	fallback
0805.3456	regex_section	pred_chars	9552.0	
0805.3456	llm_gap	n_gaps	1.0	
0805.3456	llm_gap	mean_sim_to_gold	0.459841251373291	
0805.3456	llm_gap	mean_sim_to_full	0.8503725528717041	
0805.3456	llm_gap	recovery_at_0.5	0.0	
0805.3456	llm_gap	hallucination_at_0.5	0.0	
0805.3456	llm_gap	recovery_at_0.6	0.0	
0805.3456	llm_gap	hallucination_at_0.6	0.0	
0805.3456	llm_gap	recovery_at_0.7	0.0	
0805.3456	llm_gap	hallucination_at_0.7	0.0	
0806.2938	regex_section	rouge1_f	0.1040268456375839	future_work
0806.2938	regex_section	rouge2_f	0.03367003367003367	future_work
0806.2938	regex_section	rougeL_f	0.07382550335570469	future_work
0806.2938	regex_section	pred_chars	237.0	
0806.2938	llm_gap	n_gaps	0.0	
0806.2938	llm_gap	mean_sim_to_gold	0.0	
0806.2938	llm_gap	mean_sim_to_full	0.0	
0806.2938	llm_gap	recovery_at_0.5	0.0	
0806.2938	llm_gap	hallucination_at_0.5	0.0	
0806.2938	llm_gap	recovery_at_0.6	0.0	
0806.2938	llm_gap	hallucination_at_0.6	0.0	
0806.2938	llm_gap	recovery_at_0.7	0.0	
0806.2938	llm_gap	hallucination_at_0.7	0.0	
0807.1134	regex_section	rouge1_f	0.3683083511777302	discussion,limitations
