id	gap_type	gap_sentence	paragraph_text	confidence	section_type	source
1904.10631	future_work	Nevertheless, it is another interesting area for future work to explore the utilization of these	compared to the baseline architecture trained with batch normalization and without microbatching. Nevertheless, it is another interesting area for future work to explore the utilization of these approaches to further bolster the accuracy of low-memory image classiﬁcation training.	0.936	future_work	rule+model
1904.10631	future_work	Other works have explored diﬀerent memory	sparsiﬁed, as in (Liu et al., 2019, Rhu et al., 2018). Other works have explored diﬀerent memory allocation and oﬄoading polices to reduce the activation memory footprint of training (Chen et al.,	0.525	future_work	model
1904.10631	future_work	It is an interesting area for future work to apply such	2019, Choukse et al., 2020, Jain et al., 2018). It is an interesting area for future work to apply such activation compression methods alongside our other techniques, as these methods are orthogonal to	0.9	future_work	rule+model
1904.10631	future_work	We focus on reducing the model memory, optimizer memory, and activation memory,	In this paper, we study various techniques to reduce the memory requirements of training neural We focus on reducing the model memory, optimizer memory, and activation memory, and investigate the tradeoﬀs incurred by the explored techniques in terms of the total memory	0.382	future_work	model
1905.11797	limitation	The major drawback of this approach is that the value µ of an innovation n could be arbitrarily close to	running average surpasses a threshold, and then accepting the innovation if and only if the average is positive. The major drawback of this approach is that the value µ of an innovation n could be arbitrarily close to In this case, the number of samples needed to reliably determine its sign (which is of order 1 /µ )	0.9	limitations	rule+model
1905.11797	limitation	This would result is a massive time investment for an innovation whose	would become prohibitively large. This would result is a massive time investment for an innovation whose return is negligible at best.	0.545	limitations	model
1905.11797	limitation	In hindsight, it would have been better to reject the innovation early and move	return is negligible at best. In hindsight, it would have been better to reject the innovation early and move	0.724	limitations	model
1905.11797	limitation	Another limitation of our theory is that it only applies to i.i.d. sequences of	Section 4, “Divided we fall”). Another limitation of our theory is that it only applies to i.i.d. sequences of It would be interesting to extend our analysis to distributions of µ that evolve over time.	0.9	limitations	rule+model
1905.11797	future_work	It would be interesting to extend our analysis to distributions of µ that evolve over time.	Another limitation of our theory is that it only applies to i.i.d. sequences of It would be interesting to extend our analysis to distributions of µ that evolve over time. two intriguing problems are left open for future research.	0.9	limitations	rule+model
1905.11797	future_work	two intriguing problems are left open for future research.	It would be interesting to extend our analysis to distributions of µ that evolve over time. two intriguing problems are left open for future research. Return on Investment (ROI) was developed and popularized by Donaldson Brown in the early Nineties [12]	0.911	limitations	rule+model
1905.11797	future_work	Beyond economics, mathematics, and computer science, ROI ﬁnds applications in other ﬁelds, such	and it is still considered an extremely valuable metric by the overwhelming majority of marketing managers Beyond economics, mathematics, and computer science, ROI ﬁnds applications in other ﬁelds, such as cognitive science and psychology [7].	0.645	limitations	model
1905.11797	future_work	To circumvent this issue, we designed	has a negligible inﬂuence on the overall performance of an algorithm. To circumvent this issue, we designed ESC so that it tests shorter durations ﬁrst, stopping as soon as the previous lemma applies, and a ﬁnite	0.422	future_work	model
1905.11797	future_work	This work has also beneﬁted from the AI Interdisciplinary Institute ANITI.	Faculty Research Award and by the MIUR PRIN grant Algorithms, Games, and Digital Markets (ALGADI- This work has also beneﬁted from the AI Interdisciplinary Institute ANITI. the French “Investing for the Future – PIA3” program under the Grant agreement n.	0.414	future_work	model
1905.11797	limitation	cannot be dismissed as a mathematical pathology.	around [ − 1 , 0] ∪{ 1 } ), there are settings in which this policy is optimal, so this choice of decision function cannot be dismissed as a mathematical pathology. The following lemma shows that in the simple, yet meaningful case of the policy π described above, it is	0.9	tail	rule
1906.00436	limitation	in this work), its main limitation is that technical obstacles are encountered once	(e.g., it can be used to study convergence of the trajectories that is not considered in this work), its main limitation is that technical obstacles are encountered once generalizations to non-Euclidean and constrained setups are considered.	0.9	limitations	rule+model
1906.00436	limitation	In its basic form, the dynamics from Eq. ( 2.1 ) cannot be directly applied to non-	generalizations to non-Euclidean and constrained setups are considered. In its basic form, the dynamics from Eq. ( 2.1 ) cannot be directly applied to non- ) do not in general belong	0.9	limitations	rule+model
1906.00436	future_work	The next step is to combine ⟨ z − z , x ∗ ⟩ with ψ ∗ ( z ) − ψ ∗ ( z ) to write them in the	(3.4) − α ˙ α λ − 1 f ( x ) , x ∗ ⟩ d τ = ⟨ z ˙ , x ∗ ⟩ = ⟨ z − z , x ∗ ⟩ . The next step is to combine ⟨ z − z , x ∗ ⟩ with ψ ∗ ( z ) − ψ ∗ ( z ) to write them in the form of Bregman divergences.	0.9	future_work	rule
1906.00436	limitation	Several questions that merit further in-	of both convex and nonconvex optimization. Several questions that merit further in- For example, while convergence to stationary points in Euclidean	0.516	limitations	model
1906.00436	future_work	Another interesting direction for future re-	bounds in general non-Euclidean spaces. Another interesting direction for future re- search is a rigorous characterization of the use of momentum to escape shallow local	0.93	limitations	rule+model
1906.00436	limitation	Allen-Zhu , Natasha: Faster non-convex stochastic optimization via strongly non-convex	Uri Ascher for useful comments and suggestions. Allen-Zhu , Natasha: Faster non-convex stochastic optimization via strongly non-convex , Linear coupling: An ultimate uniﬁcation of gradient and	0.507	limitations	model
2002.0137	limitation	A known limitation is that the direction estimation from	reprojected to the ground as the location of the vehicle. A known limitation is that the direction estimation from 2D speed is unavailable for stopped vehicles.	0.9	limitations	rule+model
2002.0137	limitation	2D speed is unavailable for stopped vehicles.	A known limitation is that the direction estimation from 2D speed is unavailable for stopped vehicles. With ordinary least squares (OLS) method, we can get the	0.791	limitations	model
2002.04406	future_work	sources, mainly, loop detectors and probe vehi- potential future research directions in Sec. 4 .	macroscopic trafﬁc speeds from heterogeneous data with a discussion of the main insights and suggest sources, mainly, loop detectors and probe vehi- potential future research directions in Sec. 4 . cles [ 1 , 4 , 6 , 35 , 36 ].	0.9	future_work	rule+model
2002.04406	limitation	smaller kernels may fail to detect essential features regime of free ﬂow (blue), congested (red), and	tion primarily detects local correlations in the data, can clearly differentiate between the direction and smaller kernels may fail to detect essential features regime of free ﬂow (blue), congested (red), and in the input tensor, can hence produce unrealistic transient dynamics (orange, yellow, and cyan).	0.9	discussion	rule
2002.04406	limitation	Moreover, the model cleverly extrapolates the shortcoming is the model’s extrapolation of nonex-	exaggerated or missed; see Fig. 5 (i, ii, v). Moreover, the model cleverly extrapolates the shortcoming is the model’s extrapolation of nonex- The model learns that with the	0.9	limitations	rule+model
2002.04406	limitation	methods fail to reproduce at low probe penetration	Award CG001 and by the Swiss Re Institute under methods fail to reproduce at low probe penetration the Quantum Cities TM initiative.	0.9	discussion	rule
2002.09564	limitation	Societal impact and Limitations: For some of our experi-	can be effectively used in AL studies to reduce the variance. Societal impact and Limitations: For some of our experi- ments, we use ImageNet data, which lacks gender and eth-	0.398	limitations	model
2002.09564	future_work	have insufﬁciently regularized the models and/or did not tion and segmentation for future work.	We leave other tasks such as detec- have insufﬁciently regularized the models and/or did not tion and segmentation for future work. tune the hyperparameters.	0.9	future_work	rule
